Name: Suka, Description: Pupsik! Fast af and can very quickly adapt himself to opponents Playstyle!, Rank: SS, Speed: S, Endurance: S, Combat: A, Tactical: SS, Adaptability: X, Experience: SS, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Miro, Description: Trees are his worst Enemies! X Rank potential!, Rank: S, Speed: A, Endurance: S, Combat: B, Tactical: SS, Adaptability: SS, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Bruki, Description: Aim: X! Movement: F!, Rank: A, Speed: A, Endurance: A, Combat: A, Tactical: S, Adaptability: S, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Paladino, Description: Good Aim! Bad Movement!, Rank: A, Speed: A, Endurance: B, Combat: A, Tactical: S, Adaptability: A, Experience: B, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Bruh, Description: Consistent!, Rank: A, Speed: A, Endurance: SS, Combat: B, Tactical: A, Adaptability: A, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Aliya, Description: , Rank: C, Speed: B, Endurance: D, Combat: C, Tactical: C, Adaptability: B, Experience: C, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Sharp, Description: Best Speed Damage Player comming soon!, Rank: A, Speed: B, Endurance: S, Combat: A, Tactical: A, Adaptability: A, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: fabiasheen, Description: Likes to use the edges of the Map! Pro Sniper Player incomming?, Rank: A, Speed: B, Endurance: A, Combat: B, Tactical: B, Adaptability: A, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Reanu, Description: Definitely not a Bomb Player! Go play High Damage Reanu :D!, Rank: B, Speed: B, Endurance: C, Combat: B, Tactical: A, Adaptability: B, Experience: C, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: J, Description: Has Potential!, Rank: C, Speed: C, Endurance: A, Combat: E, Tactical: B, Adaptability: B, Experience: C, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Zero1, Description: Pro Racist! Racing Rank: X! Bomb Rank: Z!, Rank: C, Speed: C, Endurance: C, Combat: C, Tactical: D, Adaptability: D, Experience: C, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
